campus,bldgno,bldgname,Year,Month,Day,Hour,ele,wash_ele
Tempe,180C,University Center C Wing,2019,1,18,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,18,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,19,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,20,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,21,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,22,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,23,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,24,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,25,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,26,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,27,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,28,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,29,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,30,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,1,31,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,16,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,17,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,18,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,19,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,20,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,21,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,22,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,1,23,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,0,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,1,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,2,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,3,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,4,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,5,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,6,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,7,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,8,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,9,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,10,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,11,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,12,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,13,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,14,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,15,0.0,0.0
Tempe,180C,University Center C Wing,2019,2,2,16,0.0,0.0
